problem_name,  n_vertices,  num_non_zeros,   max_e_length,    l2_res_norm,      t_trans(us),   t_solve(us)
Portapilas-2x2-AA_00,       19577,            494,       2.108050,     279.128113,            163,          36788
Portapilas-2x2-AA_01,       95500,         226539,       1.212469,      61.692135,            196,          39835
Portapilas-2x2-AA_02,      539341,        3367584,       0.567041,      15.235011,           4433,         104124
Portapilas-2x2-AA_03,     3589590,       35849492,       0.291899,       3.618021,          40450,        2447036
N20_Gearbox00,         557,            437,       6.637469,    1334.498535,            178,          35598
N20_Gearbox01,        3710,          21826,       2.079661,     141.473404,            185,          56941
N20_Gearbox02,       22650,         217241,       1.071977,      35.755894,            229,          48557
N20_Gearbox03,      156871,        1903353,       0.553994,       8.915267,           2166,         122422
N20_Gearbox04,     1159599,       15946892,       0.285267,       2.247249,          19256,        2080185
Sphere_00,         212,            394,       1.935511,      24.594215,            157,          43282
Sphere_01,        1060,           5770,       1.001259,       6.752534,            161,          33797
Sphere_02,        6744,          61688,       0.538009,       1.683412,            193,          38762
Sphere_03,       47626,         565720,       0.266547,       0.418239,            197,          86039
Sphere_04,      349253,        4742599,       0.138906,       0.105830,           4927,         202253
